;Periodic Table of Elements and Ions												
;For Use With Java Elements v1.0												
;Copyright 1996 © Leprechaun Software. All Rights Reserved												
;Element Information from World Book Encyclopedia												

;Atomic	Name	Symbol	State	Density	Electro-	Year	Melting	Boiling	Atomic	Ion1	Ion2	 Comment
48	Cadmium	Cd	Solid	8.64	1.7	1817	321	765	112.41	2	NA	NA
49	Indium	In	Solid	7.3	1.7	1863	157	2080	114.82	3	NA	NA
50	Tin	Sn	Solid	7.31	1.8	Ancients	232	2270	118.69	4	2	NA
51	Antimony	Sb	Solid	6.68	1.9	Ancients	631	1750	121.75	3	5	NA
52	Tellurium	Te	Solid	6.2	2.1	1782	450	990	127.6	-2	NA	Semimetallic element. Discovery in 1782 by the Austrian chemist Franz muller von reichenstein.
53	Iodine	I	Solid	4.93	2.5	1811	114	184	126.9	-1	NA	NA
54	Xenon	Xe	Gas	5.89	NA	1898	-112	-107	131.29	NA	NA	NA
55	Cesium	Cs	Solid	1.88	0.7	1860	28.4	669	132.91	1	NA	NA
56	Barium	Ba	Solid	3.5	0.9	1808	725	1640	137.33	2	NA	"Soft, heavy, silver-colored metal element. Barium easily reacts with other elements.  In 1808, in was isolated by Sir Humphery Davy, and English chemist."
57	Lanthanum	La	Solid	6.15	1.1	1839	918	3464	138.91	NA	NA	"Soft, silvery-white  metal.  The name comes from the Greek word lanthano, meaning to be hidden or concealed.  It was discovered by the Swedish chemist Carl Mosander in 1839."
58	Cerium	Ce	Solid	6.69	1.1	1803	798	3443	140.12	3	NA	NA
59	Praseodymium	Pr	Solid	6.64	1.1	1885	931	3520	140.91	3	NA	"The word comes from the Greek words prasios, meaing leekgreen, and didymos, meaning twin. First discovered by the Austrian chemist C. F. Auer von Welsbach in 1885."
60	Neodymium	Nd	Solid	7.01	1.2	1885	1021	3074	144.24	3	NA	NA
61	Promethium	Pm	Synthetic	7.26	NA	1945	1042	3000	145	3	NA	"Exists as radioactive isotopes. Discovered by three american chemists, J. A. Marinsky, Lawrence E. Glendenin, and Charles D. Coryell in 1945."
62	Samarium	Sm	Solid	7.52	1.2	1879	1074	1794	150.4	3	NA	NA
63	Europium	Eu	Solid	5.24		1901	822	1527	151.97	3	2	"Soft, silver metal.  Discovered by the Frnch scientist Eugene Demarcay in 1901."
64	Gadolimium	Gd	Solid	7.9	1.1	1880	1313	3273	157.25	3	NA	NA
65	Terbium	Tb	Solid	8.23	1.2	1843	1356	3230	158.93	3	NA	"Many terbium compounds glow with a green color and are used in phosphors.  Discovered in 1843 by Carl Molsander, a Swedish scientist."
66	Dysprosium	Dy	Solid	8.55	NA	1886	1412	2567	162.5	3	NA	NA
67	Holmium	Ho	Solid	8.8	1.2	1878	1474	2700	164.93	3	NA	"One of the rare earth metals.  Was identified by the Swiss scientist J.L. Soret in 1878.  However it was P.T. Cleve of Sweden who both discovered and named the element.  It's name comes from the Latin word Holmia, which means Stockholm, Sweden."
68	Erbium	Er	Solid	9.07	1.2	1842	1529	2868	167.26	3	NA	"Grayish-silver colored element.  Discovered by Carl Mosander, a Swedish scientist, in 1843."
69	Thulium	Tm	Solid	9.32	1.2	1879	1545	1950	168.94	3	NA	"Name comes from the Thule, the Latin word for the northernmost part of the inhabitable world. The Swedish scientist Per Cleve first discovered this element in 1879."
70	Ytterbium	Yb	Solid	6.97	1.1	1878	819	1196	173.04	3	NA	NA
71	Lutetium	Lu	Solid	9.84	1.2	1907	1663	3402	174.97	3	NA	"Silver colored metal. The name comes from Lutetia, the ancient name of Paris.  It was discovered by the French scientist Georges Urbain in 1907."
72	Hafnium	Hf	Solid	13.3	1.3	1923	2227	4602	178.49	NA	NA	"Metal which absorbs neutrons better than most metals and is resistant to corrosion.  Discovered by Dirk Coster, a Dutch physicist, and Georg von Hevesy, a Hungarian chemist, in 1923.  The name derives from the Latin word Hafina, meaning Cophenagen."
73	Tanalum	Ta	Solid	16.6	1.5	1802	2996	5424	180.95	NA	NA	"Also called wolfram, hard, silvery-white metal. Discovered in 1783 by two Spanish chemists, Frausto de Elhuyar and his brother Juan Jose."
74	Tungsten	W	Solid	19.4	1.7	1783	3410	5660	183.85	NA	NA	NA
75	Rhenium	Re	Solid	21	1.9	1925	3180	5672	186.21	NA	NA	NA
76	Osmium	Os	Solid	22.5	2.2	1803	2700	5300	190.2	NA	NA	NA
77	Iridium	Ir	Solid	22.4	2.2	1803	2410	4130	192.22	NA	NA	NA
78	Platinum	Pt	Solid	21.5	2.2	1735	1772	3827	195.08	4	2	"Silver-white metal that is of greater value than gold. Platinum serves as a catalyst. Discovered in 1557 by the Italian scientist, Julius Scaliger."
79	Gold	Au	Solid	19.3	2.4	Ancients	1064	2808	196.97	3	1	NA
80	Mercury	Hg	Liquid	13.5	2.4	Ancients	-39	357	200.59	2	1	"Liquid, silver-colored metal. Mercury compounds are extremely poisonous and can cause illness or death. Having the ability to expand and contract evenly in response to changing temperatures. Named after the swift messenger of the gods in Roman mythology."
81	Thallium	Ti	Solid	11.85	1.8	1861	304	1457	204.38	1	3	"Soft, bluish-gray metallic element. Discovered by Sir William Crookes, an English scientist, in 1861. This element is quite toxic, and too much exposure may cause nerve damage, emotional changes, cramps and convulsions, and eventuall coma and death."
82	Lead	Pb	Solid	11.3	1.8	Ancients	328	1740	207.2	2	4	"Soft, weak, heavy bluish-gray element. Being one of the oldest known elements to man.  Due to its weakness it is often mixed with other elements to form lead alloys.  Lead can also be harmful if excess lead is contained in the body, called lead poisoning."
83	Bismuth	Bi	Solid	9.8	1.9	1753	271	1560	208.98	3	5	"Brittle, white metal with a pink tint. It has many uses in the production of medicine, however, they have been found to cause toxic reactions in people."
84	Polonium	Po	Solid	9.4	2	1898	254	962	209	2	4	Radioactive metallic element.In 1898 it was discovered by Marie and Pierre Curie of France.  It can be artifically obtained  by bombarding bismuth with neutrons.
85	Astatine	At	Solid	NA	2.2	1940	302	337	210	-1	NA	NA
86	Radon	Rn	Gas	9.73	NA	1900	-71	-61.8	222	NA	NA	NA
87	Francium	Fr	Solid	NA	0.7	1939	27	677	223	1	NA	Radioactive element produced in certain nuclear reactions. Discovered in  1939 by the French scientist Marguerite Perey.
88	Radium	Ra	Solid	5	0.9	1898	700	1140	226.03	2	NA	NA
89	Actinium	Ac	Solid	10.1	1.1	1899	1050	3200	227.03	3	NA	NA
90	Thorium	Th	Solid	11.7	1.3	1828	1750	4790	232.04	4	NA	Radioactive element which is soft metal with a silvery luster. Discovered by the Swedish chemist Jons J. Berzelius in 1828. Named after the Norse god Thor.
91	Protactinium	Pa	Solid	15.4	1.5	1913	1600	NA	231.04	5	NA	"Radioactive metal. Two teams of scientists isolated the element in 1917. Of these were Otto Hahn and Lise Meitner of Germany, and Fredick Soddy and John Cranston of Great Britian.  Artificially obtained in nuclear reactors and particle accelerators."
92	Uranium	U	Solid	19.1	1.7	1789	1132	3818	238.03	6	4	"Highly reactive, silvery-white, radioactive metal - the main source of nuclear energy.  The name orginated in honor of the planet Uranus. Discovered in 1789 by the Germon chemist Martin H. Klaproth."
93	Neptunium	Np	Synthetic	20.5	1.3	1940	1042	3000	237.05	5	NA	NA
94	Plutonium	Pu	Synthetic	19.8	1.3	1940	1074	1794	244	4	6	"Radioactive metallic element. Almost all is produced artificially. Highly poisonous because of it rapid releasal of high energy particles, called alpha rays. Discovered in 1940 by Glenn T. Seaborg, Edwin M. McMillan, Joseph W. Kenedy, and Arthur C. Wahl."
95	Americium	Am	Synthetic	13.7	1.3	1944	994	2607	243	3	NA	NA
96	Curium	Cm	Synthetic	13.5	NA	1944	1340	NA	247	3	NA	NA
97	Berkelium	Bk	Synthetic	14	NA	1949	NA	NA	247	3	NA	"Artifically created radioactive element. Ten isotopes of this element are known. First discovered by Stanley G. Thompson, Albeert Ghiorso, and Glenn T. Seaborg, in 1949, while working a Berkeley university, from which this element is named after."
98	Californium	Cf	Synthetic	NA	NA	1950	NA	NA	251	NA	NA	NA
99	Einsteinium	Es	Synthetic	NA	NA	1952	NA	NA	252	NA	NA	Artificially created radioactive element. Named in the honor of the famous scientist Albert Einstein. Einsteinium was first found in 1952.
100	Fermium	Fm	Synthetic	NA	NA	1953	NA	NA	257	NA	NA	"Artificially created radioactive element. First discovered by a team of American scientists lead by Albert Ghiorso in 1953. Named for Enrico Fermi, the Italian physicist who produced the first controlled nuclear chain reaction."
101	Mendelevium	Md	Synthetic	NA	NA	1955	1021	3074	258	NA	NA	NA
102	Nobelium	No	Synthetic	NA	NA	1958	NA	NA	259	NA	NA	NA
103	Lawrencium	Lr	Synthetic	NA	NA	1961	NA	NA	260	NA	NA	"Artifically created radioactive element.  The name was dedicated to the American physicist Ernest O. Lawrence. Discovered in 1961 by four American scientists, Albert Ghiorso, Torbjorn Sikkeland, Almon E. Larsh, and Robert M. Latimer."
104	Unnilquadium	Unq	Synthetic	NA	NA	1969	NA	NA	261	NA	NA	NA
105	Unnilpentium	Unp	Synthetic	NA	NA	1970	NA	NA	262	NA	NA	NA
106	Unnilhexium	Unh	Synthetic	NA	NA	1970	NA	NA	263	NA	NA	NA
107	Unnilseptium	Uns	Synthetic	NA	NA	NA	NA	NA	262	NA	NA	NA
109	Unnilennium	Une	Synthetic	NA	NA	NA	NA	NA	266	NA	NA	NA
